ID,ESTIMATIVA,RESPOSTA,ERRO,ERRO_ACEITAVEL,ERRO < ERRO_ACEITAVEL,EPS,DELTA,SOMA_PESOS,TIME
1,54840,0,54840,214834,TRUE,0.01,0.01,21483478,7.30144
2,54924,0,54924,214834,TRUE,0.01,0.01,21483478,7.30147
3,54485,0,54485,214834,TRUE,0.01,0.01,21483478,7.30147
4,54270,0,54270,214834,TRUE,0.01,0.01,21483478,7.30147
5,54270,0,54270,214834,TRUE,0.01,0.01,21483478,7.30148
1,56393,0,56393,214834,TRUE,0.01,0.02,21483478,6.56394
2,53532,0,53532,214834,TRUE,0.01,0.02,21483478,6.56396
3,53742,0,53742,214834,TRUE,0.01,0.02,21483478,6.56396
4,54288,0,54288,214834,TRUE,0.01,0.02,21483478,6.56396
5,53579,0,53579,214834,TRUE,0.01,0.02,21483478,6.56396
1,54900,0,54900,214834,TRUE,0.01,0.03,21483478,6.46422
2,54702,0,54702,214834,TRUE,0.01,0.03,21483478,6.46423
3,55032,0,55032,214834,TRUE,0.01,0.03,21483478,6.46424
4,53904,0,53904,214834,TRUE,0.01,0.03,21483478,6.46424
5,53718,0,53718,214834,TRUE,0.01,0.03,21483478,6.46424
1,53093,0,53093,214834,TRUE,0.01,0.04,21483478,6.43222
2,53988,0,53988,214834,TRUE,0.01,0.04,21483478,6.43224
3,55738,0,55738,214834,TRUE,0.01,0.04,21483478,6.43224
4,55128,0,55128,214834,TRUE,0.01,0.04,21483478,6.43224
5,54078,0,54078,214834,TRUE,0.01,0.04,21483478,6.43224
1,56069,0,56069,214834,TRUE,0.01,0.05,21483478,5.72305
2,53664,0,53664,214834,TRUE,0.01,0.05,21483478,5.72307
3,55727,0,55727,214834,TRUE,0.01,0.05,21483478,5.72307
4,54666,0,54666,214834,TRUE,0.01,0.05,21483478,5.72307
5,55265,0,55265,214834,TRUE,0.01,0.05,21483478,5.72307
1,55537,0,55537,214834,TRUE,0.01,0.06,21483478,5.71014
2,54702,0,54702,214834,TRUE,0.01,0.06,21483478,5.71015
3,55170,0,55170,214834,TRUE,0.01,0.06,21483478,5.71016
4,55434,0,55434,214834,TRUE,0.01,0.06,21483478,5.71016
5,55962,0,55962,214834,TRUE,0.01,0.06,21483478,5.71016
1,54516,0,54516,214834,TRUE,0.01,0.07,21483478,5.70434
2,55355,0,55355,214834,TRUE,0.01,0.07,21483478,5.70435
3,53532,0,53532,214834,TRUE,0.01,0.07,21483478,5.70435
4,56320,0,56320,214834,TRUE,0.01,0.07,21483478,5.70436
5,55607,0,55607,214834,TRUE,0.01,0.07,21483478,5.70436
1,55338,0,55338,214834,TRUE,0.01,0.08,21483478,5.71729
2,54768,0,54768,214834,TRUE,0.01,0.08,21483478,5.7173
3,55440,0,55440,214834,TRUE,0.01,0.08,21483478,5.7173
4,55446,0,55446,214834,TRUE,0.01,0.08,21483478,5.71731
5,55248,0,55248,214834,TRUE,0.01,0.08,21483478,5.71731
1,55188,0,55188,214834,TRUE,0.01,0.09,21483478,5.70345
2,54658,0,54658,214834,TRUE,0.01,0.09,21483478,5.70346
3,53658,0,53658,214834,TRUE,0.01,0.09,21483478,5.70347
4,55422,0,55422,214834,TRUE,0.01,0.09,21483478,5.70347
5,54918,0,54918,214834,TRUE,0.01,0.09,21483478,5.70347
1,56364,0,56364,214834,TRUE,0.01,0.1,21483478,5.7001
2,54731,0,54731,214834,TRUE,0.01,0.1,21483478,5.70011
3,54281,0,54281,214834,TRUE,0.01,0.1,21483478,5.70011
4,54840,0,54840,214834,TRUE,0.01,0.1,21483478,5.70012
5,55530,0,55530,214834,TRUE,0.01,0.1,21483478,5.70012
1,275645,0,275645,1074173,TRUE,0.05,0.01,21483478,7.14927
2,277920,0,277920,1074173,TRUE,0.05,0.01,21483478,7.14928
3,277834,0,277834,1074173,TRUE,0.05,0.01,21483478,7.14928
4,276914,0,276914,1074173,TRUE,0.05,0.01,21483478,7.14928
5,275615,0,275615,1074173,TRUE,0.05,0.01,21483478,7.14928
1,277188,0,277188,1074173,TRUE,0.05,0.02,21483478,6.42982
2,276221,0,276221,1074173,TRUE,0.05,0.02,21483478,6.42983
3,273581,0,273581,1074173,TRUE,0.05,0.02,21483478,6.42984
4,277138,0,277138,1074173,TRUE,0.05,0.02,21483478,6.42984
5,276161,0,276161,1074173,TRUE,0.05,0.02,21483478,6.42984
1,277985,0,277985,1074173,TRUE,0.05,0.03,21483478,6.60018
2,279020,0,279020,1074173,TRUE,0.05,0.03,21483478,6.60019
3,275766,0,275766,1074173,TRUE,0.05,0.03,21483478,6.60019
4,280061,0,280061,1074173,TRUE,0.05,0.03,21483478,6.6002
5,276718,0,276718,1074173,TRUE,0.05,0.03,21483478,6.6002
1,277787,0,277787,1074173,TRUE,0.05,0.04,21483478,6.44099
2,276442,0,276442,1074173,TRUE,0.05,0.04,21483478,6.441
3,278948,0,278948,1074173,TRUE,0.05,0.04,21483478,6.441
4,275201,0,275201,1074173,TRUE,0.05,0.04,21483478,6.441
5,278117,0,278117,1074173,TRUE,0.05,0.04,21483478,6.44101
1,278044,0,278044,1074173,TRUE,0.05,0.05,21483478,5.72656
2,280877,0,280877,1074173,TRUE,0.05,0.05,21483478,5.72657
3,279394,0,279394,1074173,TRUE,0.05,0.05,21483478,5.72657
4,276923,0,276923,1074173,TRUE,0.05,0.05,21483478,5.72658
5,278909,0,278909,1074173,TRUE,0.05,0.05,21483478,5.72658
1,279509,0,279509,1074173,TRUE,0.05,0.06,21483478,5.716
2,277732,0,277732,1074173,TRUE,0.05,0.06,21483478,5.71601
3,276917,0,276917,1074173,TRUE,0.05,0.06,21483478,5.71601
4,278530,0,278530,1074173,TRUE,0.05,0.06,21483478,5.71601
5,278453,0,278453,1074173,TRUE,0.05,0.06,21483478,5.71601
1,279330,0,279330,1074173,TRUE,0.05,0.07,21483478,5.72023
2,278546,0,278546,1074173,TRUE,0.05,0.07,21483478,5.72024
3,275483,0,275483,1074173,TRUE,0.05,0.07,21483478,5.72024
4,277965,0,277965,1074173,TRUE,0.05,0.07,21483478,5.72025
5,276406,0,276406,1074173,TRUE,0.05,0.07,21483478,5.72025
1,278786,0,278786,1074173,TRUE,0.05,0.08,21483478,5.72409
2,277580,0,277580,1074173,TRUE,0.05,0.08,21483478,5.7241
