ID,ESTIMATIVA,RESPOSTA,ERRO,ERRO_ACEITAVEL,ERRO < ERRO_ACEITAVEL,EPS,DELTA,SOMA_PESOS,T,K,TIME,,,"0,01",,DELTA,EPS
1,53664,0,53664,214834,TRUE,"0,01","0,01",21483478,5,200,"7,35102",,,"0,01",,"0,01","0,01"
2,54815,0,54815,214834,TRUE,"0,01","0,01",21483478,5,200,"7,35104",,,"0,01",,"0,01","0,01"
3,55332,0,55332,214834,TRUE,"0,01","0,01",21483478,5,200,"7,35105",,,"0,01",,"0,01","0,01"
4,53748,0,53748,214834,TRUE,"0,01","0,01",21483478,5,200,"7,35105",,,"0,01",,"0,01","0,01"
5,51822,0,51822,214834,TRUE,"0,01","0,01",21483478,5,200,"7,35105",,,"0,02",,"0,01","0,01"
1,54936,0,54936,214834,TRUE,"0,01","0,02",21483478,4,200,"6,44641",,,"0,02",,"0,02","0,01"
2,54696,0,54696,214834,TRUE,"0,01","0,02",21483478,4,200,"6,44642",,,"0,02",,"0,02","0,01"
3,53489,0,53489,214834,TRUE,"0,01","0,02",21483478,4,200,"6,44642",,,"0,02",,"0,02","0,01"
4,54450,0,54450,214834,TRUE,"0,01","0,02",21483478,4,200,"6,44643",,,"0,02",,"0,02","0,01"
5,54570,0,54570,214834,TRUE,"0,01","0,02",21483478,4,200,"6,44646",,,"0,03",,"0,02","0,01"
1,55254,0,55254,214834,TRUE,"0,01","0,03",21483478,4,200,"6,4276",,,"0,03",,"0,03","0,01"
2,53820,0,53820,214834,TRUE,"0,01","0,03",21483478,4,200,"6,42761",,,"0,03",,"0,03","0,01"
3,54252,0,54252,214834,TRUE,"0,01","0,03",21483478,4,200,"6,42761",,,"0,03",,"0,03","0,01"
4,54758,0,54758,214834,TRUE,"0,01","0,03",21483478,4,200,"6,42762",,,"0,03",,"0,03","0,01"
5,54132,0,54132,214834,TRUE,"0,01","0,03",21483478,4,200,"6,42762",,,"0,04",,"0,03","0,01"
1,56694,0,56694,214834,TRUE,"0,01","0,04",21483478,4,200,"6,42026",,,"0,04",,"0,04","0,01"
2,54864,0,54864,214834,TRUE,"0,01","0,04",21483478,4,200,"6,42028",,,"0,04",,"0,04","0,01"
3,55908,0,55908,214834,TRUE,"0,01","0,04",21483478,4,200,"6,42028",,,"0,04",,"0,04","0,01"
4,56358,0,56358,214834,TRUE,"0,01","0,04",21483478,4,200,"6,42028",,,"0,04",,"0,04","0,01"
5,56472,0,56472,214834,TRUE,"0,01","0,04",21483478,4,200,"6,42028",,,"0,05",,"0,04","0,01"
1,54515,0,54515,214834,TRUE,"0,01","0,05",21483478,3,200,"5,70403",,,"0,05",,"0,05","0,01"
2,53580,0,53580,214834,TRUE,"0,01","0,05",21483478,3,200,"5,70404",,,"0,05",,"0,05","0,01"
3,52428,0,52428,214834,TRUE,"0,01","0,05",21483478,3,200,"5,70404",,,"0,05",,"0,05","0,01"
4,53790,0,53790,214834,TRUE,"0,01","0,05",21483478,3,200,"5,70405",,,"0,05",,"0,05","0,01"
5,54585,0,54585,214834,TRUE,"0,01","0,05",21483478,3,200,"5,70405",,,"0,06",,"0,05","0,01"
1,53802,0,53802,214834,TRUE,"0,01","0,06",21483478,3,200,"5,72608",,,"0,06",,"0,06","0,01"
2,53724,0,53724,214834,TRUE,"0,01","0,06",21483478,3,200,"5,7261",,,"0,06",,"0,06","0,01"
3,55068,0,55068,214834,TRUE,"0,01","0,06",21483478,3,200,"5,7261",,,"0,06",,"0,06","0,01"
4,54276,0,54276,214834,TRUE,"0,01","0,06",21483478,3,200,"5,7261",,,"0,06",,"0,06","0,01"
5,55170,0,55170,214834,TRUE,"0,01","0,06",21483478,3,200,"5,7261",,,"0,07",,"0,06","0,01"
1,54576,0,54576,214834,TRUE,"0,01","0,07",21483478,3,200,"5,69433",,,"0,07",,"0,07","0,01"
2,54574,0,54574,214834,TRUE,"0,01","0,07",21483478,3,200,"5,69435",,,"0,07",,"0,07","0,01"
3,55572,0,55572,214834,TRUE,"0,01","0,07",21483478,3,200,"5,69435",,,"0,07",,"0,07","0,01"
4,54311,0,54311,214834,TRUE,"0,01","0,07",21483478,3,200,"5,69435",,,"0,07",,"0,07","0,01"
5,53693,0,53693,214834,TRUE,"0,01","0,07",21483478,3,200,"5,69435",,,"0,08",,"0,07","0,01"
1,54504,0,54504,214834,TRUE,"0,01","0,08",21483478,3,200,"5,70257",,,"0,08",,"0,08","0,01"
2,53982,0,53982,214834,TRUE,"0,01","0,08",21483478,3,200,"5,70258",,,"0,08",,"0,08","0,01"
3,54383,0,54383,214834,TRUE,"0,01","0,08",21483478,3,200,"5,70258",,,"0,08",,"0,08","0,01"
4,55674,0,55674,214834,TRUE,"0,01","0,08",21483478,3,200,"5,70258",,,"0,08",,"0,08","0,01"
5,55385,0,55385,214834,TRUE,"0,01","0,08",21483478,3,200,"5,70259",,,"0,09",,"0,08","0,01"
1,55782,0,55782,214834,TRUE,"0,01","0,09",21483478,3,200,"5,69248",,,"0,09",,"0,09","0,01"
2,56531,0,56531,214834,TRUE,"0,01","0,09",21483478,3,200,"5,69249",,,"0,09",,"0,09","0,01"
3,55668,0,55668,214834,TRUE,"0,01","0,09",21483478,3,200,"5,69249",,,"0,09",,"0,09","0,01"
4,56326,0,56326,214834,TRUE,"0,01","0,09",21483478,3,200,"5,69249",,,"0,09",,"0,09","0,01"
5,55811,0,55811,214834,TRUE,"0,01","0,09",21483478,3,200,"5,6925",,,"0,1",,"0,09","0,01"
1,55230,0,55230,214834,TRUE,"0,01","0,1",21483478,3,200,"5,69418",,,"0,1",,"0,1","0,01"
2,55609,0,55609,214834,TRUE,"0,01","0,1",21483478,3,200,"5,69419",,,"0,1",,"0,1","0,01"
3,55854,0,55854,214834,TRUE,"0,01","0,1",21483478,3,200,"5,69419",,,"0,1",,"0,1","0,01"
4,55500,0,55500,214834,TRUE,"0,01","0,1",21483478,3,200,"5,69419",,,"0,1",,"0,1","0,01"
5,55187,0,55187,214834,TRUE,"0,01","0,1",21483478,3,200,"5,69419",,,"0,01",,"0,1","0,01"
1,278615,0,278615,1074173,TRUE,"0,05","0,01",21483478,5,40,"7,12794",,,"0,01",,"0,01","0,05"
2,276028,0,276028,1074173,TRUE,"0,05","0,01",21483478,5,40,"7,12795",,,"0,01",,"0,01","0,05"
3,276324,0,276324,1074173,TRUE,"0,05","0,01",21483478,5,40,"7,12795",,,"0,01",,"0,01","0,05"
4,277087,0,277087,1074173,TRUE,"0,05","0,01",21483478,5,40,"7,12796",,,"0,01",,"0,01","0,05"
5,278303,0,278303,1074173,TRUE,"0,05","0,01",21483478,5,40,"7,12796",,,"0,02",,"0,01","0,05"
1,278252,0,278252,1074173,TRUE,"0,05","0,02",21483478,4,40,"6,40879",,,"0,02",,"0,02","0,05"
2,277169,0,277169,1074173,TRUE,"0,05","0,02",21483478,4,40,"6,4088",,,"0,02",,"0,02","0,05"
3,276250,0,276250,1074173,TRUE,"0,05","0,02",21483478,4,40,"6,40881",,,"0,02",,"0,02","0,05"
4,279125,0,279125,1074173,TRUE,"0,05","0,02",21483478,4,40,"6,40881",,,"0,02",,"0,02","0,05"
5,276627,0,276627,1074173,TRUE,"0,05","0,02",21483478,4,40,"6,40881",,,"0,03",,"0,02","0,05"
1,279446,0,279446,1074173,TRUE,"0,05","0,03",21483478,4,40,"6,41018",,,"0,03",,"0,03","0,05"
2,277401,0,277401,1074173,TRUE,"0,05","0,03",21483478,4,40,"6,41019",,,"0,03",,"0,03","0,05"
3,278104,0,278104,1074173,TRUE,"0,05","0,03",21483478,4,40,"6,41019",,,"0,03",,"0,03","0,05"
4,278775,0,278775,1074173,TRUE,"0,05","0,03",21483478,4,40,"6,4102",,,"0,03",,"0,03","0,05"
5,278297,0,278297,1074173,TRUE,"0,05","0,03",21483478,4,40,"6,4102",,,"0,04",,"0,03","0,05"
1,277677,0,277677,1074173,TRUE,"0,05","0,04",21483478,4,40,"6,40382",,,"0,04",,"0,04","0,05"
2,277068,0,277068,1074173,TRUE,"0,05","0,04",21483478,4,40,"6,40383",,,"0,04",,"0,04","0,05"
3,275820,0,275820,1074173,TRUE,"0,05","0,04",21483478,4,40,"6,40384",,,"0,04",,"0,04","0,05"
4,277296,0,277296,1074173,TRUE,"0,05","0,04",21483478,4,40,"6,40384",,,"0,04",,"0,04","0,05"
5,277655,0,277655,1074173,TRUE,"0,05","0,04",21483478,4,40,"6,40384",,,"0,05",,"0,04","0,05"
1,277176,0,277176,1074173,TRUE,"0,05","0,05",21483478,3,40,"5,69306",,,"0,05",,"0,05","0,05"
2,280585,0,280585,1074173,TRUE,"0,05","0,05",21483478,3,40,"5,69308",,,"0,05",,"0,05","0,05"
3,276275,0,276275,1074173,TRUE,"0,05","0,05",21483478,3,40,"5,69308",,,"0,05",,"0,05","0,05"
